X - Plot 0	Y - Plot 0	X - Plot 1	Y - Plot 1	X - Plot 2	Y - Plot 2	X - Plot 3	Y - Plot 3
		-4.49244	-2.79393	-0.87521	-0.111953	4.25694	-0.787879
		-4.53179	-2.84848	-0.939394	-0.117215	4.21212	-0.728575
		-4.54766	-2.87097	-1.00997	-0.125355	4.16365	-0.666667
		-4.57576	-2.91525	-1.09091	-0.133966	4.07162	-0.554265
		-4.5988	-2.95126	-1.14186	-0.14106	4.06444	-0.545455
		-4.60946	-2.9697	-1.24242	-0.154186	4.06061	-0.540941
		-4.64529	-3.03528	-1.27112	-0.158859	3.95753	-0.424242
		-4.67255	-3.09091	-1.39394	-0.177822	3.90909	-0.37157
		-4.68688	-3.12322	-1.39799	-0.178576	3.84343	-0.30303
		-4.72201	-3.21212	-1.4162	-0.181818	3.75758	-0.216769
		-4.72311	-3.21545	-1.52169	-0.200831	3.72124	-0.181818
		-4.72727	-3.22957	-1.54545	-0.20491	3.60606	-0.074962
		-4.75225	-3.31335	-1.6432	-0.224831	3.58985	-0.0606061
		-4.75759	-3.33333	-1.69697	-0.235348	3.45455	0.0551874
		-4.7736	-3.41749	-1.76286	-0.250316	3.44789	0.0606061
		-4.77993	-3.45455	-1.84848	-0.269106	3.30303	0.174818
		-4.78579	-3.52894	-1.88078	-0.277192	3.29366	0.181818
		-4.78912	-3.57576	-1.98702	-0.30303	3.15152	0.2849
		-4.78664	-3.64948	-1.99695	-0.305468	3.12504	0.30303
		-4.78518	-3.69697	-2	-0.306193	3	0.386261
		-4.77296	-3.78163	-2.11042	-0.335907	2.93933	0.424242
		-4.76811	-3.81818	-2.15152	-0.346676	2.84848	0.47961
		-4.74029	-3.92898	-2.2225	-0.367451	2.73309	0.545455
		-4.73786	-3.93939	-2.30303	-0.390505	2.69697	0.565551
		-4.72727	-3.96947	-2.33326	-0.400061	2.62564	0.602515
		-4.69397	-4.06061	-2.41111	-0.424242	2.54545	0.644331
		-4.67244	-4.10447	-2.44234	-0.434003	2.49926	0.666667
		-4.63632	-4.18182	-2.45455	-0.437744	2.39394	0.716415
		-4.57576	-4.2855	-2.54931	-0.469646	2.25758	0.775753
		-4.56489	-4.30303	-2.60606	-0.488462	2.24242	0.782409
		-4.54949	-4.32404	-2.65516	-0.506177	2.22883	0.787879
		-4.47803	-4.42424	-2.75758	-0.542707	2.09091	0.842174
		-4.42424	-4.49041	-2.75989	-0.5436	1.9682	0.886047
		-4.376	-4.54545	-2.76475	-0.545455	1.93939	0.896479
		-4.27273	-4.65259	-2.86235	-0.582847	1.90074	0.909091
		-4.25797	-4.66667	-2.90909	-0.600597	1.78788	0.945204
		-4.12936	-4.78136	-2.96377	-0.62292	1.71776	0.965183
		-4.12208	-4.78788	-3.06061	-0.662233	1.63636	0.988793
		-4.12121	-4.78861	-3.0642	-0.663791	1.49003	1.02616
		-4.08723	-4.81506	-3.07085	-0.666667	1.48485	1.02751
		-3.9697	-4.90662	-3.16252	-0.70635	1.47251	1.0303
		-3.96621	-4.90909	-3.21212	-0.727771	1.33333	1.06127
		-3.81818	-5.01114	-3.25986	-0.749691	1.28265	1.07085
		-3.78766	-5.0303	-3.34295	-0.787879	1.18182	1.09048
		-3.66667	-5.10492	-3.35609	-0.793916	1.08756	1.10571
		-3.58379	-5.15152	-3.36364	-0.797385	1.0303	1.11529
		-3.51515	-5.18971	-3.45043	-0.839653	0.902559	1.1325
		-3.38421	-5.25627	-3.51515	-0.871298	0.878788	1.13584
		-3.36364	-5.26675	-3.54389	-0.886097	0.734167	1.15152
		-3.35075	-5.27273	-3.58824	-0.909091	0.727273	1.15225
		-3.21212	-5.33694	-3.63587	-0.933726	0.726256	1.15233
		-3.07722	-5.39394	-3.66667	-0.949775	0.575758	1.16459
		-3.06061	-5.40097	-3.72647	-0.982462	0.558312	1.16547
		-3.04358	-5.40756	-3.81307	-1.0303	0.424242	1.17306
		-2.90909	-5.45934	-3.8161	-1.03197	0.396398	1.17379
		-2.76348	-5.51043	-3.81818	-1.03313	0.272727	1.17778
		-2.75758	-5.51248	-3.90387	-1.08296	0.239805	1.17785
		-2.74911	-5.51515	-3.9697	-1.1218	0.121212	1.17884
		-2.60606	-5.56062	-3.99072	-1.13469	0.0879323	1.17814
		-2.51707	-5.58634	-4.01769	-1.15152	-0.030303	1.17636
		-2.45455	-5.60407	-4.076	-1.18768	-0.0597307	1.17506
		-2.32868	-5.63636	-4.12121	-1.21626	-0.181818	1.17041
		-2.30303	-5.643	-4.16004	-1.24166	-0.203619	1.16896
		-2.29131	-5.64574	-4.20653	-1.27273	-0.333333	1.16109
		-2.15152	-5.67741	-4.24271	-1.29674	-0.344105	1.16013
		-2.0827	-5.69142	-4.27273	-1.31713	-0.448142	1.15152
		-2	-5.70752	-4.32393	-1.35298	-0.481373	1.14873
		-1.88646	-5.7272	-4.38095	-1.39394	-0.484848	1.14847
		-1.84848	-5.73339	-4.40385	-1.41026	-0.615325	1.13468
		-1.70077	-5.75453	-4.42424	-1.42521	-0.636364	1.13259
		-1.69697	-5.75503	-4.48219	-1.46879	-0.746682	1.11856
		-1.67447	-5.75758	-4.54198	-1.51515	-0.787879	1.11356
		-1.54545	-5.77226	-4.5592	-1.52839	-0.875666	1.10053
				-4.57576	-1.54155	-0.939394	1.09144
				-4.63459	-1.5893	-1.00247	1.08077
				-4.69058	-1.63636	-1.09091	1.06629
				-4.70854	-1.65135	-1.12726	1.05939
				-4.72727	-1.66757	-1.24242	1.03814
				-4.78083	-1.71473	-1.25019	1.03651
				-4.82761	-1.75758	-1.28049	1.0303
				-4.85156	-1.77936	-1.37067	1.01169
				-4.87879	-1.80522	-1.39394	1.00701
				-4.92057	-1.84536	-1.48932	0.985394
				-4.95386	-1.87879	-1.54545	0.972957
				-4.98786	-1.91274	-1.60647	0.957906
				-5.0303	-1.95721	-1.69697	0.936018
				-5.05336	-1.98155	-1.72222	0.92929
				-5.07002	-2	-1.79932	0.909091
				-5.11696	-2.05188	-1.83631	0.899347
				-5.17651	-2.12121	-1.84848	0.896196
				-5.17867	-2.12373	-1.94847	0.867869
				-5.18182	-2.1276	-2	0.853494
				-5.23827	-2.19727	-2.05949	0.835468
				-5.27289	-2.24242	-2.15152	0.807943
				-5.29577	-2.27247	-2.16939	0.802177
				-5.33333	-2.32482	-2.2142	0.787879
				-5.35105	-2.34947	-2.27763	0.76756
				-5.36065	-2.36364	-2.30303	0.759519
				-5.40389	-2.42841	-2.38447	0.731822
				-5.4393	-2.48485	-2.45455	0.708218
				-5.45429	-2.5093	-2.49037	0.695329
				-5.48485	-2.56252	-2.57066	0.666667
				-5.50204	-2.59231	-2.59511	0.65791
				-5.5095	-2.60606	-2.60606	0.654023
				-5.54683	-2.67769	-2.69823	0.619188
				-5.57103	-2.72727	-2.75758	0.596895
				-5.58866	-2.76543	-2.80052	0.579809
				-5.6245	-2.84848	-2.88725	0.545455
				-5.62738	-2.85567	-2.90185	0.539661
				-5.63636	-2.87979	-2.90909	0.5368
				-5.66231	-2.94894	-3.00158	0.49823
				-5.6696	-2.9697	-3.06061	0.473682
				-5.69332	-3.04535	-3.10056	0.456208
				-5.70667	-3.09091	-3.17374	0.424242
				-5.72018	-3.14507	-3.19856	0.413395
				-5.7358	-3.21212	-3.21212	0.407477
				-5.74246	-3.24845	-3.29516	0.369464
				-5.75702	-3.33333	-3.36364	0.338106
				-5.75964	-3.35592	-3.39107	0.324977
				-5.77036	-3.45455	-3.43683	0.30303
				-5.77101	-3.46804	-3.48581	0.27956
				-5.77585	-3.57576	-3.51515	0.265471
				-5.77565	-3.58554	-3.57947	0.233273
				-5.7735	-3.69697	-3.66667	0.189461
				-5.7724	-3.70935	-3.67245	0.186443
				-5.7633	-3.81818	-3.68126	0.181818
				-5.75981	-3.84064	-3.764	0.138474
				-5.74524	-3.93939	-3.81818	0.109935
				-5.73608	-3.98083	-3.85483	0.0899235
				-5.71927	-4.06061	-3.90814	0.0606061
				-5.69905	-4.13167	-3.94466	0.0405759
				-5.68538	-4.18182	-3.9697	0.0267394
				-5.64617	-4.29519	-4.03338	-0.00965846
				-5.64356	-4.30303	-4.12121	-0.0603074
				-5.63636	-4.32081	-4.12143	-0.0604348
				-5.59339	-4.42424	-4.12171	-0.0606061
				-5.5658	-4.4807	-4.20808	-0.112322
				-5.53507	-4.54545	-4.27273	-0.151457
				-5.48485	-4.63768	-4.29406	-0.164749
				-5.46851	-4.66667	-4.32113	-0.181818
				-5.45176	-4.69314	-4.37889	-0.218096
				-5.39307	-4.78788	-4.42424	-0.246953
				-5.33333	-4.87521	-4.46283	-0.27216
				-5.30918	-4.90909	-4.50941	-0.30303
				-5.26987	-4.95986	-4.54577	-0.327019
				-5.21607	-5.0303	-4.57576	-0.347105
				-5.18182	-5.07204	-4.62766	-0.382718
				-5.11354	-5.15152	-4.68719	-0.424242
				-5.0303	-5.24284	-4.70865	-0.439138
				-5.00169	-5.27273	-4.72727	-0.452291
				-4.88444	-5.38941	-4.78849	-0.496478
				-4.87992	-5.39394	-4.85508	-0.545455
				-4.87879	-5.39502	-4.86746	-0.554515
				-4.74696	-5.51515	-4.87879	-0.562968
				-4.72727	-5.53249	-4.94523	-0.613515
				-4.60294	-5.63636	-5.01362	-0.666667
				-4.57576	-5.65846	-5.02211	-0.673223
				-4.44711	-5.75758	-5.0303	-0.679701
				-4.42424	-5.77482	-5.09776	-0.733913
				-4.27861	-5.87879	-5.16334	-0.787879
				-4.27273	-5.88292	-5.17248	-0.795353
				-4.24226	-5.90316	-5.18182	-0.803192
				-4.12121	-5.98376	-5.24596	-0.857778
				-4.09538	-6	-5.3047	-0.909091
				-3.9697	-6.07819	-5.31843	-0.921014
				-3.89646	-6.12121	-5.33333	-0.934322
				-3.81818	-6.16686	-5.38967	-0.985233
				-3.68092	-6.24242	-5.43815	-1.0303
				-3.66667	-6.25023	-5.45981	-1.05034
				-3.63906	-6.26451	-5.48485	-1.07421
				-3.51515	-6.3287	-5.52871	-1.11642
				-3.4436	-6.36364	-5.56407	-1.15152
				-3.36364	-6.40261	-5.59641	-1.18348
				-3.24919	-6.4552	-5.63636	-1.22427
				-3.21212	-6.47223	-5.66287	-1.25153
				-3.18293	-6.48485	-5.68281	-1.27273
				-3.06061	-6.53777	-5.72801	-1.32062
				-2.92599	-6.59254	-5.78788	-1.38633
				-2.90909	-6.59941	-5.79188	-1.39074
				-2.89163	-6.60606	-5.79468	-1.39394
				-2.75758	-6.65729	-5.85432	-1.462
				-2.64155	-6.69888	-5.89921	-1.51515
				-2.60606	-6.71154	-5.91541	-1.53434
				-2.55894	-6.72727	-5.93939	-1.56387
				-2.45455	-6.76225	-5.97503	-1.60785
				-2.3827	-6.78475	-5.99726	-1.63636
				-2.30303	-6.80949	-6.03316	-1.68257
				-2.16824	-6.84848	-6.08911	-1.75758
